#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.207 0.0069 2.49e-08 2.13e-08 4419.38 1328.23 156.36 -0.7 6546933 0.00e+00 1.23e-11 1.96e+05 1.59e-03 -2.12e+01 1.04e+01
0.211 0.0071 2.39e-08 2.04e-08 4340.57 1309.73 153.89 -0.7 6477425 0.00e+00 8.86e-12 1.42e+05 9.90e-04 -1.40e+01 8.48e+00
0.216 0.0073 2.28e-08 1.95e-08 4262.75 1291.61 151.46 -0.7 6408656 0.00e+00 6.34e-12 1.02e+05 6.05e-04 -8.86e+00 6.93e+00
0.220 0.0075 2.19e-08 1.87e-08 4185.59 1273.97 149.07 -0.7 6340616 0.00e+00 4.54e-12 7.40e+04 3.68e-04 -5.47e+00 5.67e+00
0.225 0.0076 2.10e-08 1.80e-08 4115.93 1254.70 146.71 -0.7 6273299 0.00e+00 3.10e-12 5.11e+04 2.08e-04 -3.12e+00 4.54e+00
0.230 0.0078 2.04e-08 1.75e-08 4086.87 1223.80 144.40 -0.7 6206697 0.00e+00 1.61e-12 2.70e+04 7.81e-05 -1.17e+00 3.19e+00
0.235 0.0079 1.99e-08 1.70e-08 4058.00 1193.67 142.13 -0.7 6140801 0.00e+00 8.24e-13 1.40e+04 2.86e-05 -4.28e-01 2.23e+00
0.240 0.0081 1.94e-08 1.66e-08 4029.27 1164.30 139.89 -0.7 6075605 0.00e+00 4.14e-13 7.19e+03 1.02e-05 -1.53e-01 1.55e+00
0.245 0.0083 1.89e-08 1.61e-08 4000.60 1135.69 137.69 -0.7 6011102 0.00e+00 2.05e-13 3.62e+03 3.54e-06 -5.31e-02 1.06e+00
0.250 0.0084 1.84e-08 1.57e-08 3971.92 1107.84 135.53 -0.7 5947283 0.00e+00 9.99e-14 1.79e+03 1.20e-06 -1.80e-02 7.25e-01
0.256 0.0086 1.79e-08 1.53e-08 3942.81 1080.85 133.40 -0.7 5884142 0.00e+00 4.80e-14 8.76e+02 4.01e-07 -6.01e-03 4.91e-01
0.261 0.0088 1.74e-08 1.49e-08 3913.87 1054.53 131.31 -0.7 5821671 0.00e+00 2.27e-14 4.21e+02 1.30e-07 -1.95e-03 3.30e-01
0.267 0.0089 1.69e-08 1.45e-08 3885.04 1028.87 129.25 -0.6 5759863 0.00e+00 1.05e-14 1.99e+02 4.12e-08 -6.18e-04 2.20e-01
