#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.052 0.0018 1.82e-06 1.55e-06 83179.49 5623.52 787.70 -1.6 13076793 0.00e+00 5.62e-05 3.34e+11 1.01e+04 -1.39e+04 2.01e+02
0.053 0.0018 1.69e-06 1.45e-06 80359.22 5623.52 774.38 -1.6 12927297 0.00e+00 5.80e-05 3.45e+11 9.90e+03 -1.36e+04 1.94e+02
0.054 0.0019 1.58e-06 1.35e-06 77634.57 5623.52 761.29 -1.6 12779510 0.00e+00 6.00e-05 3.56e+11 9.73e+03 -1.32e+04 1.88e+02
0.055 0.0020 1.48e-06 1.26e-06 75002.30 5623.52 748.43 -1.6 12633413 0.00e+00 6.20e-05 3.68e+11 9.55e+03 -1.28e+04 1.82e+02
0.057 0.0020 1.38e-06 1.18e-06 72459.29 5623.52 735.79 -1.6 12488986 0.00e+00 6.41e-05 3.81e+11 9.36e+03 -1.25e+04 1.75e+02
0.058 0.0021 1.29e-06 1.10e-06 70002.50 5623.52 723.37 -1.6 12346210 0.00e+00 6.62e-05 3.93e+11 9.17e+03 -1.21e+04 1.69e+02
0.059 0.0022 1.20e-06 1.03e-06 67629.00 5623.52 711.16 -1.7 12205067 0.00e+00 6.84e-05 4.07e+11 8.98e+03 -1.18e+04 1.64e+02
0.061 0.0023 1.12e-06 9.58e-07 65335.98 5623.52 699.16 -1.7 12065537 0.00e+00 7.07e-05 4.20e+11 8.79e+03 -1.14e+04 1.58e+02
0.062 0.0024 1.05e-06 8.94e-07 63120.71 5623.52 687.37 -1.7 11927602 0.00e+00 7.31e-05 4.35e+11 8.60e+03 -1.11e+04 1.53e+02
0.064 0.0024 9.76e-07 8.35e-07 60980.55 5623.52 675.79 -1.7 11791244 0.00e+00 7.56e-05 4.49e+11 8.40e+03 -1.08e+04 1.48e+02
0.065 0.0025 9.11e-07 7.79e-07 58912.95 5623.52 664.41 -1.7 11656444 0.00e+00 7.81e-05 4.64e+11 8.21e+03 -1.05e+04 1.43e+02
0.067 0.0026 8.50e-07 7.27e-07 56915.46 5623.52 653.22 -1.8 11523186 0.00e+00 8.08e-05 4.80e+11 8.01e+03 -1.02e+04 1.38e+02
0.068 0.0027 7.93e-07 6.79e-07 54985.69 5623.52 642.23 -1.8 11391452 0.00e+00 8.35e-05 4.96e+11 7.82e+03 -9.87e+03 1.33e+02
0.070 0.0028 7.40e-07 6.33e-07 53121.36 5623.52 631.43 -1.8 11261223 0.00e+00 8.64e-05 5.13e+11 7.63e+03 -9.57e+03 1.29e+02
0.071 0.0029 6.94e-07 5.94e-07 51470.37 5607.12 620.83 -1.8 11132483 0.00e+00 8.54e-05 5.09e+11 7.31e+03 -9.22e+03 1.25e+02
0.073 0.0029 6.80e-07 5.82e-07 51349.69 5429.74 610.59 -1.8 11005215 0.00e+00 5.43e-05 3.30e+11 5.81e+03 -8.23e+03 1.24e+02
0.075 0.0030 6.61e-07 5.66e-07 50998.81 5281.73 600.51 -1.8 10879402 0.00e+00 3.69e-05 2.29e+11 4.70e+03 -7.40e+03 1.23e+02
0.077 0.0031 6.41e-07 5.49e-07 50536.19 5149.36 590.60 -1.7 10755027 0.00e+00 2.60e-05 1.64e+11 3.85e+03 -6.68e+03 1.22e+02
0.078 0.0031 6.22e-07 5.32e-07 50084.21 5019.66 580.88 -1.7 10632074 0.00e+00 1.84e-05 1.18e+11 2.90e+03 -5.83e+03 1.21e+02
0.080 0.0032 6.17e-07 5.28e-07 50380.81 4820.91 571.44 -1.7 10510526 0.00e+00 1.11e-05 7.30e+10 2.30e+03 -5.21e+03 1.22e+02
0.082 0.0029 8.31e-07 7.11e-07 62189.07 3773.11 563.82 -1.3 10390369 0.00e+00 5.40e-06 4.21e+10 1.57e+03 -4.50e+03 1.51e+02
0.084 0.0030 8.04e-07 6.88e-07 61529.94 3684.23 554.70 -1.3 10271584 0.00e+00 5.40e-06 4.28e+10 1.56e+03 -4.41e+03 1.49e+02
0.086 0.0030 7.78e-07 6.66e-07 60910.02 3595.54 545.76 -1.3 10154158 0.00e+00 5.40e-06 4.35e+10 1.55e+03 -4.33e+03 1.47e+02
0.088 0.0031 7.48e-07 6.40e-07 59993.70 3526.69 536.94 -1.3 10038074 0.00e+00 5.40e-06 4.41e+10 1.53e+03 -4.24e+03 1.45e+02
0.090 0.0032 7.12e-07 6.09e-07 58721.77 3480.91 528.23 -1.3 9923318 0.00e+00 5.40e-06 4.44e+10 1.51e+03 -4.13e+03 1.42e+02
0.092 0.0033 6.78e-07 5.80e-07 57489.94 3434.94 519.68 -1.3 9809873 0.00e+00 5.40e-06 4.48e+10 1.48e+03 -4.03e+03 1.39e+02
0.094 0.0034 6.45e-07 5.52e-07 56290.87 3389.17 511.29 -1.3 9697725 0.00e+00 5.40e-06 4.53e+10 4.54e+02 -2.41e+03 1.36e+02
0.096 0.0035 6.15e-07 5.26e-07 55126.86 3343.39 503.07 -1.3 9586859 0.00e+00 5.40e-06 4.57e+10 2.34e+02 -1.80e+03 1.33e+02
0.099 0.0036 5.87e-07 5.03e-07 54103.44 3291.13 495.02 -1.3 9477261 0.00e+00 5.40e-06 4.62e+10 1.41e+02 -1.45e+03 1.31e+02
0.101 0.0037 5.65e-07 4.84e-07 53335.41 3225.32 487.18 -1.2 9368916 0.00e+00 5.40e-06 4.68e+10 8.96e+01 -1.20e+03 1.29e+02
0.103 0.0038 5.43e-07 4.65e-07 52546.26 3162.76 479.48 -1.2 9261809 0.00e+00 5.40e-06 4.74e+10 5.57e+01 -9.94e+02 1.27e+02
0.106 0.0039 5.22e-07 4.46e-07 51738.11 3103.25 471.93 -1.2 9155926 0.00e+00 5.40e-06 4.81e+10 3.01e+01 -8.03e+02 1.25e+02
0.108 0.0039 5.22e-07 4.47e-07 52389.22 2960.78 464.90 -1.2 9051255 0.00e+00 5.40e-06 4.96e+10 2.93e+01 -7.97e+02 1.27e+02
0.111 0.0037 6.47e-07 5.53e-07 61098.38 2452.66 460.15 -1.0 8947779 0.00e+00 5.40e-06 5.64e+10 2.64e+01 -7.74e+02 1.48e+02
0.113 0.0037 6.83e-07 5.84e-07 64063.58 2259.83 454.20 -0.9 8845487 0.00e+00 5.40e-06 5.96e+10 1.94e+01 -7.13e+02 1.55e+02
0.116 0.0037 7.09e-07 6.07e-07 66463.32 2104.38 448.32 -0.9 8744364 0.00e+00 5.40e-06 6.26e+10 1.18e+01 -6.35e+02 1.61e+02
0.118 0.0036 7.48e-07 6.40e-07 69679.05 1939.20 442.90 -0.8 8644397 0.00e+00 6.32e-09 7.74e+07 6.09e+00 -5.71e+02 1.69e+02
0.121 0.0035 8.47e-07 7.25e-07 76566.28 1704.93 438.82 -0.7 8545573 0.00e+00 5.48e-10 7.33e+06 5.52e-01 -4.99e+02 1.85e+02
0.124 0.0035 9.14e-07 7.82e-07 81486.43 1547.67 434.45 -0.7 8447879 0.00e+00 7.17e-11 1.02e+06 7.48e-02 -4.17e+02 1.97e+02
0.127 0.0036 8.54e-07 7.31e-07 78801.26 1546.15 427.91 -0.7 8351302 0.00e+00 7.25e-11 1.04e+06 7.66e-02 -4.09e+02 1.91e+02
0.130 0.0037 7.98e-07 6.83e-07 76204.64 1544.62 421.49 -0.7 8255829 0.00e+00 7.35e-11 1.05e+06 7.83e-02 -4.01e+02 1.84e+02
