#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.052 0.0018 1.82e-06 1.55e-06 83179.49 5623.52 783.41 -1.6 13076793 0.00e+00 5.62e-05 3.34e+11 1.12e+04 -5.44e+03 1.54e+02
0.053 0.0018 1.69e-06 1.45e-06 80359.22 5623.52 770.01 -1.6 12927297 0.00e+00 5.80e-05 3.45e+11 1.11e+04 -5.31e+03 1.49e+02
0.054 0.0019 1.58e-06 1.35e-06 77634.57 5623.52 756.85 -1.6 12779510 0.00e+00 6.00e-05 3.56e+11 1.10e+04 -5.17e+03 1.44e+02
0.055 0.0020 1.48e-06 1.26e-06 75002.30 5623.52 743.91 -1.6 12633413 0.00e+00 6.20e-05 3.68e+11 1.08e+04 -5.04e+03 1.39e+02
0.057 0.0020 1.38e-06 1.18e-06 72459.29 5623.52 731.19 -1.6 12488986 0.00e+00 6.41e-05 3.81e+11 1.06e+04 -4.91e+03 1.34e+02
0.058 0.0021 1.29e-06 1.10e-06 70002.50 5623.52 718.69 -1.6 12346210 0.00e+00 6.62e-05 3.93e+11 1.04e+04 -4.77e+03 1.30e+02
0.059 0.0022 1.20e-06 1.03e-06 67629.00 5623.52 706.40 -1.7 12205067 0.00e+00 6.84e-05 4.07e+11 1.02e+04 -4.64e+03 1.25e+02
0.061 0.0023 1.12e-06 9.58e-07 65335.98 5623.52 694.32 -1.7 12065537 0.00e+00 7.07e-05 4.20e+11 1.00e+04 -4.51e+03 1.21e+02
0.062 0.0024 1.05e-06 8.94e-07 63120.71 5623.52 682.45 -1.7 11927602 0.00e+00 7.31e-05 4.35e+11 9.84e+03 -4.39e+03 1.17e+02
0.064 0.0024 9.76e-07 8.35e-07 60980.55 5623.52 670.78 -1.7 11791244 0.00e+00 7.56e-05 4.49e+11 9.63e+03 -4.26e+03 1.13e+02
0.065 0.0025 9.11e-07 7.79e-07 58912.95 5623.52 659.32 -1.7 11656444 0.00e+00 7.81e-05 4.64e+11 9.42e+03 -4.14e+03 1.09e+02
0.067 0.0026 8.50e-07 7.27e-07 56915.46 5623.52 648.05 -1.8 11523186 0.00e+00 8.08e-05 4.80e+11 9.21e+03 -4.02e+03 1.06e+02
0.068 0.0027 7.93e-07 6.79e-07 54985.69 5623.52 636.97 -1.8 11391452 0.00e+00 8.35e-05 4.96e+11 9.00e+03 -3.90e+03 1.02e+02
0.070 0.0028 7.40e-07 6.33e-07 53121.36 5623.52 626.08 -1.8 11261223 0.00e+00 8.64e-05 5.13e+11 8.79e+03 -3.79e+03 9.85e+01
0.071 0.0029 7.02e-07 6.01e-07 51869.12 5564.02 615.37 -1.8 11132483 0.00e+00 7.61e-05 4.55e+11 8.09e+03 -3.59e+03 9.62e+01
0.073 0.0029 6.88e-07 5.89e-07 51764.27 5386.25 604.86 -1.8 11005215 0.00e+00 4.81e-05 2.94e+11 6.57e+03 -3.24e+03 9.60e+01
0.075 0.0030 6.68e-07 5.71e-07 51336.22 5247.01 594.52 -1.7 10879402 0.00e+00 3.34e-05 2.08e+11 5.48e+03 -2.95e+03 9.52e+01
0.077 0.0031 6.48e-07 5.54e-07 50890.57 5113.50 584.35 -1.7 10755027 0.00e+00 2.34e-05 1.49e+11 4.55e+03 -2.68e+03 9.44e+01
0.078 0.0031 6.32e-07 5.41e-07 50642.25 4964.35 574.37 -1.7 10632074 0.00e+00 1.58e-05 1.02e+11 3.65e+03 -2.40e+03 9.39e+01
0.080 0.0032 6.29e-07 5.38e-07 51047.29 4757.97 564.55 -1.6 10510526 0.00e+00 9.51e-06 6.33e+10 2.68e+03 -2.08e+03 9.47e+01
0.082 0.0029 8.44e-07 7.22e-07 62840.28 3734.01 554.92 -1.3 10390369 0.00e+00 5.40e-06 4.24e+10 1.86e+03 -1.80e+03 1.17e+02
0.084 0.0030 8.17e-07 6.99e-07 62212.75 3643.80 545.44 -1.3 10271584 0.00e+00 5.40e-06 4.31e+10 1.86e+03 -1.77e+03 1.15e+02
0.086 0.0030 7.92e-07 6.78e-07 61622.64 3553.96 536.12 -1.3 10154158 0.00e+00 5.40e-06 4.38e+10 8.34e+02 -1.25e+03 1.14e+02
0.088 0.0031 7.55e-07 6.46e-07 60375.74 3504.37 526.96 -1.3 10038074 0.00e+00 5.40e-06 4.42e+10 2.78e+02 -7.74e+02 1.12e+02
