#1:r  2:H   3:Rho0    4:RhoMean 5:S   6:Tc  7:Te  8:Vr  9:Vphi   10:tauR	11:x	12:s_e	13:B_r	14:B_phi	15:B_z
0.103	0.0038	5.41e-07	4.63e-07	52399.57	3171.43	468.03	-1.2	9261809	0.00e+00	5.40e-06	4.73e+10 1.64e+03	1.79e+03	9.72e+01
0.106	0.0052	7.84e-07	6.71e-07	104642.46	5623.56	499.33	-0.6	9155926	0.00e+00	8.40e-05	4.99e+11 1.03e+04	5.66e+03	1.94e+02
0.108	0.0053	7.46e-07	6.39e-07	101176.22	5412.23	491.84	-0.6	9051255	0.00e+00	4.96e-05	3.02e+11 8.07e+03	4.91e+03	1.88e+02
0.111	0.0054	7.09e-07	6.07e-07	97830.95	5230.65	484.28	-0.6	8947779	0.00e+00	3.11e-05	1.94e+11 6.42e+03	4.29e+03	1.81e+02
0.113	0.0055	6.73e-07	5.76e-07	94596.36	5060.90	476.79	-0.6	8845487	0.00e+00	2.00e-05	1.27e+11 5.10e+03	3.74e+03	1.75e+02
0.116	0.0055	6.49e-07	5.55e-07	91440.28	4753.06	470.79	-0.6	8744364	0.00e+00	9.32e-06	6.21e+10 3.30e+03	2.94e+03	1.70e+02
0.118	0.0049	7.02e-07	6.01e-07	88125.63	3521.23	477.35	-0.6	8644397	0.00e+00	5.40e-06	4.41e+10 2.21e+03	2.28e+03	1.63e+02
0.121	0.0050	6.61e-07	5.66e-07	85227.77	3467.25	469.08	-0.6	8545573	0.00e+00	5.40e-06	4.46e+10 2.18e+03	2.22e+03	1.58e+02
0.124	0.0052	6.22e-07	5.33e-07	82420.16	3412.70	460.92	-0.7	8447879	0.00e+00	5.40e-06	4.50e+10 2.15e+03	2.16e+03	1.53e+02
0.127	0.0053	5.86e-07	5.02e-07	79705.12	3357.96	452.91	-0.7	8351302	0.00e+00	5.40e-06	4.55e+10 2.12e+03	2.11e+03	1.48e+02
0.130	0.0054	5.53e-07	4.73e-07	77079.59	3297.69	445.14	-0.7	8255829	0.00e+00	5.40e-06	4.61e+10 2.09e+03	2.05e+03	1.43e+02
0.133	0.0055	5.23e-07	4.48e-07	74531.30	3208.62	437.98	-0.7	8161447	0.00e+00	5.40e-06	4.70e+10 2.06e+03	2.00e+03	1.38e+02
0.136	0.0040	3.25e-07	2.78e-07	33050.61	1523.18	382.14	-1.5	8068144	0.00e+00	8.48e-11	1.23e+06 2.49e-02	6.94e+01	6.13e+01
0.139	0.0041	3.12e-07	2.67e-07	32791.77	1521.75	375.60	-1.5	7975908	0.00e+00	8.49e-11	1.23e+06 2.48e-02	6.90e+01	6.08e+01
