#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.100 0.0025 1.86e-07 1.60e-07 11766.40 1481.87 283.11 -0.6 9411180 0.00e+00 6.08e-11 8.95e+05 1.55e-02 -1.38e+02 7.87e+01
0.102 0.0025 1.75e-07 1.50e-07 11411.02 1479.87 279.05 -0.6 9311264 0.00e+00 6.09e-11 8.96e+05 1.56e-02 -1.36e+02 7.63e+01
0.104 0.0026 1.65e-07 1.41e-07 11065.69 1477.96 275.06 -0.6 9212408 0.00e+00 6.10e-11 8.99e+05 1.57e-02 -1.34e+02 7.40e+01
0.107 0.0027 1.55e-07 1.32e-07 10731.51 1475.96 271.14 -0.6 9114601 0.00e+00 6.10e-11 9.00e+05 1.59e-02 -1.32e+02 7.18e+01
0.109 0.0028 1.45e-07 1.24e-07 10407.44 1473.95 267.28 -0.6 9017833 0.00e+00 6.10e-11 9.01e+05 1.60e-02 -1.30e+02 6.96e+01
0.111 0.0029 1.37e-07 1.17e-07 10093.18 1471.95 263.50 -0.6 8922092 0.00e+00 6.10e-11 9.02e+05 1.61e-02 -1.28e+02 6.75e+01
0.114 0.0030 1.29e-07 1.10e-07 9788.43 1469.95 259.78 -0.6 8827368 0.00e+00 6.10e-11 9.03e+05 1.62e-02 -1.26e+02 6.55e+01
0.116 0.0031 1.21e-07 1.03e-07 9492.89 1467.94 256.12 -0.6 8733650 0.00e+00 6.10e-11 9.04e+05 1.62e-02 -1.24e+02 6.35e+01
0.119 0.0032 1.14e-07 9.71e-08 9206.90 1465.85 252.53 -0.6 8640926 0.00e+00 6.09e-11 9.03e+05 1.63e-02 -1.22e+02 6.16e+01
0.121 0.0033 1.07e-07 9.13e-08 8928.96 1463.84 249.00 -0.6 8549187 0.00e+00 6.09e-11 9.04e+05 1.64e-02 -1.20e+02 5.97e+01
0.124 0.0034 1.00e-07 8.58e-08 8659.99 1461.75 245.54 -0.6 8458422 0.00e+00 6.08e-11 9.03e+05 1.64e-02 -1.18e+02 5.79e+01
0.126 0.0035 9.43e-08 8.07e-08 8399.14 1459.65 242.13 -0.6 8368620 0.00e+00 6.07e-11 9.03e+05 1.64e-02 -1.15e+02 5.62e+01
0.129 0.0036 8.86e-08 7.58e-08 8146.16 1457.55 238.79 -0.6 8279772 0.00e+00 6.06e-11 9.02e+05 1.64e-02 -1.13e+02 5.45e+01
0.132 0.0037 8.33e-08 7.13e-08 7900.82 1455.45 235.50 -0.6 8191867 0.00e+00 6.05e-11 9.01e+05 1.65e-02 -1.11e+02 5.29e+01
0.135 0.0038 7.83e-08 6.70e-08 7662.38 1453.45 232.27 -0.6 8104896 0.00e+00 6.04e-11 9.01e+05 1.65e-02 -1.09e+02 5.13e+01
0.138 0.0039 7.36e-08 6.30e-08 7431.64 1451.35 229.10 -0.7 8018847 0.00e+00 6.03e-11 9.00e+05 1.65e-02 -1.07e+02 4.97e+01
0.141 0.0041 6.92e-08 5.92e-08 7207.86 1449.25 225.98 -0.7 7933713 0.00e+00 6.02e-11 8.99e+05 1.64e-02 -1.04e+02 4.82e+01
0.144 0.0042 6.50e-08 5.56e-08 6990.38 1447.25 222.92 -0.7 7849482 0.00e+00 6.01e-11 8.99e+05 1.64e-02 -1.02e+02 4.68e+01
0.147 0.0043 6.11e-08 5.23e-08 6780.81 1444.96 219.91 -0.7 7766146 0.00e+00 5.98e-11 8.95e+05 1.63e-02 -9.98e+01 4.52e+01
0.150 0.0045 5.77e-08 4.94e-08 6593.23 1439.24 217.00 -0.7 7683694 0.00e+00 5.61e-11 8.43e+05 1.47e-02 -9.42e+01 4.19e+01
0.153 0.0046 5.44e-08 4.66e-08 6410.52 1433.61 214.14 -0.7 7602117 0.00e+00 5.28e-11 7.94e+05 1.34e-02 -8.88e+01 3.89e+01
0.157 0.0047 5.13e-08 4.39e-08 6232.13 1428.18 211.33 -0.7 7521407 0.00e+00 4.97e-11 7.50e+05 1.22e-02 -8.38e+01 3.61e+01
0.160 0.0049 4.84e-08 4.14e-08 6057.58 1423.03 208.57 -0.7 7441554 0.00e+00 4.71e-11 7.12e+05 1.12e-02 -7.92e+01 3.36e+01
0.163 0.0050 4.57e-08 3.91e-08 5887.59 1417.97 205.85 -0.7 7362548 0.00e+00 4.46e-11 6.76e+05 1.02e-02 -7.48e+01 3.13e+01
0.167 0.0052 4.31e-08 3.68e-08 5722.45 1412.92 203.19 -0.7 7284381 0.00e+00 4.22e-11 6.41e+05 9.39e-03 -7.07e+01 2.91e+01
0.170 0.0053 4.06e-08 3.47e-08 5561.26 1408.05 200.57 -0.7 7207044 0.00e+00 4.01e-11 6.10e+05 8.64e-03 -6.68e+01 2.71e+01
0.174 0.0055 3.83e-08 3.27e-08 5403.94 1403.38 198.00 -0.7 7130528 0.00e+00 3.81e-11 5.82e+05 7.97e-03 -6.32e+01 2.53e+01
0.178 0.0057 3.61e-08 3.09e-08 5250.77 1398.80 195.48 -0.7 7054825 0.00e+00 3.63e-11 5.56e+05 7.38e-03 -5.98e+01 2.36e+01
0.182 0.0058 3.40e-08 2.91e-08 5102.00 1394.23 193.00 -0.7 6979925 0.00e+00 3.46e-11 5.31e+05 6.82e-03 -5.66e+01 2.20e+01
0.186 0.0060 3.20e-08 2.74e-08 4956.81 1389.84 190.56 -0.7 6905820 0.00e+00 3.31e-11 5.08e+05 6.33e-03 -5.36e+01 2.06e+01
0.190 0.0062 3.02e-08 2.58e-08 4815.47 1385.55 188.17 -0.7 6832503 0.00e+00 3.16e-11 4.87e+05 5.88e-03 -5.08e+01 1.93e+01
0.194 0.0064 2.85e-08 2.43e-08 4678.21 1381.26 185.82 -0.7 6759963 0.00e+00 3.02e-11 4.67e+05 5.46e-03 -4.81e+01 1.80e+01
0.198 0.0066 2.68e-08 2.29e-08 4544.28 1377.16 183.51 -0.7 6688194 0.00e+00 2.90e-11 4.48e+05 5.09e-03 -4.57e+01 1.68e+01
0.202 0.0068 2.53e-08 2.16e-08 4414.21 1373.05 181.25 -0.8 6617187 0.00e+00 2.78e-11 4.31e+05 4.75e-03 -4.33e+01 1.58e+01
0.207 0.0070 2.38e-08 2.04e-08 4287.62 1369.05 179.02 -0.8 6546933 0.00e+00 2.67e-11 4.14e+05 4.43e-03 -4.11e+01 1.48e+01
0.211 0.0072 2.24e-08 1.92e-08 4164.68 1365.04 176.84 -0.8 6477425 0.00e+00 2.56e-11 3.98e+05 4.14e-03 -3.89e+01 1.38e+01
0.216 0.0075 2.11e-08 1.81e-08 4045.03 1361.13 174.69 -0.8 6408656 0.00e+00 2.46e-11 3.83e+05 3.87e-03 -3.69e+01 1.30e+01
0.220 0.0077 1.99e-08 1.70e-08 3928.56 1357.32 172.58 -0.8 6340616 0.00e+00 2.36e-11 3.69e+05 3.62e-03 -3.51e+01 1.21e+01
0.225 0.0079 1.87e-08 1.60e-08 3815.21 1353.60 170.51 -0.8 6273299 0.00e+00 2.28e-11 3.56e+05 3.40e-03 -3.33e+01 1.14e+01
0.230 0.0082 1.76e-08 1.51e-08 3705.43 1349.78 168.48 -0.8 6206697 0.00e+00 2.19e-11 3.43e+05 3.18e-03 -3.16e+01 1.07e+01
0.235 0.0084 1.68e-08 1.44e-08 3620.37 1337.96 166.60 -0.8 6140801 0.00e+00 1.81e-11 2.85e+05 2.46e-03 -2.68e+01 9.32e+00
0.240 0.0086 1.60e-08 1.37e-08 3544.18 1323.65 164.80 -0.8 6075605 0.00e+00 1.41e-11 2.25e+05 1.77e-03 -2.14e+01 7.94e+00
0.245 0.0089 1.52e-08 1.30e-08 3469.23 1309.64 163.04 -0.8 6011102 0.00e+00 1.11e-11 1.77e+05 1.26e-03 -1.65e+01 6.77e+00
0.250 0.0091 1.45e-08 1.24e-08 3395.76 1295.81 161.31 -0.8 5947283 0.00e+00 8.64e-12 1.39e+05 8.94e-04 -1.23e+01 5.76e+00
0.256 0.0094 1.38e-08 1.18e-08 3323.23 1282.36 159.61 -0.8 5884142 0.00e+00 6.77e-12 1.10e+05 6.29e-04 -9.00e+00 4.91e+00
0.261 0.0096 1.32e-08 1.13e-08 3252.12 1269.10 157.95 -0.8 5821671 0.00e+00 5.29e-12 8.65e+04 4.38e-04 -6.41e+00 4.18e+00
0.267 0.0099 1.26e-08 1.08e-08 3187.48 1254.04 156.36 -0.8 5759863 0.00e+00 3.95e-12 6.51e+04 2.85e-04 -4.22e+00 3.49e+00
0.273 0.0101 1.21e-08 1.04e-08 3142.96 1231.72 154.93 -0.8 5698712 0.00e+00 2.49e-12 4.16e+04 1.43e-04 -2.14e+00 2.69e+00
0.279 0.0103 1.17e-08 1.00e-08 3098.62 1209.98 153.53 -0.8 5638210 0.00e+00 1.56e-12 2.64e+04 7.13e-05 -1.07e+00 2.07e+00
0.285 0.0106 1.13e-08 9.63e-09 3054.66 1188.71 152.17 -0.8 5578350 0.00e+00 9.76e-13 1.67e+04 3.51e-05 -5.27e-01 1.58e+00
0.291 0.0108 1.08e-08 9.27e-09 3010.57 1168.11 150.84 -0.8 5519126 0.00e+00 6.08e-13 1.05e+04 1.73e-05 -2.59e-01 1.21e+00
0.297 0.0111 1.04e-08 8.93e-09 2966.80 1147.99 149.54 -0.8 5460530 0.00e+00 3.77e-13 6.60e+03 8.43e-06 -1.26e-01 9.25e-01
0.303 0.0113 1.00e-08 8.59e-09 2923.33 1128.34 148.27 -0.8 5402557 0.00e+00 2.32e-13 4.12e+03 4.09e-06 -6.13e-02 7.05e-01
0.310 0.0116 9.66e-09 8.27e-09 2879.89 1109.27 147.02 -0.8 5345199 0.00e+00 1.43e-13 2.56e+03 1.98e-06 -2.97e-02 5.36e-01
0.317 0.0119 9.30e-09 7.96e-09 2836.94 1090.58 145.81 -0.7 5288450 0.00e+00 8.75e-14 1.59e+03 9.55e-07 -1.43e-02 4.06e-01
0.323 0.0122 8.94e-09 7.65e-09 2793.96 1072.46 144.62 -0.7 5232303 0.00e+00 5.35e-14 9.80e+02 4.64e-07 -6.95e-03 3.08e-01
0.330 0.0125 8.60e-09 7.36e-09 2751.17 1054.81 143.46 -0.7 5176753 0.00e+00 3.26e-14 6.04e+02 2.28e-07 -3.42e-03 2.33e-01
0.338 0.0128 8.27e-09 7.08e-09 2709.05 1037.46 142.32 -0.7 5121792 0.00e+00 1.97e-14 3.69e+02 1.14e-07 -1.71e-03 1.75e-01
0.345 0.0131 7.95e-09 6.80e-09 2667.07 1020.58 141.21 -0.7 5067415 0.00e+00 1.19e-14 2.25e+02 5.98e-08 -8.96e-04 1.32e-01
0.352 0.0134 7.64e-09 6.54e-09 2624.97 1004.27 140.11 -0.7 5013615 0.00e+00 7.19e-15 1.38e+02 3.44e-08 -5.16e-04 9.95e-02
0.360 0.0137 7.34e-09 6.28e-09 2583.46 988.25 139.04 -0.7 4960386 0.00e+00 4.34e-15 8.40e+01 2.24e-08 -3.36e-04 7.48e-02
0.368 0.0140 7.05e-09 6.03e-09 2542.53 972.51 138.00 -0.7 4907723 0.00e+00 2.61e-15 5.11e+01 1.66e-08 -2.50e-04 5.62e-02
0.376 0.0144 6.77e-09 5.80e-09 2501.66 957.25 136.97 -0.7 4855619 0.00e+00 1.58e-15 3.13e+01 1.35e-08 -2.03e-04 4.24e-02
0.384 0.0147 6.51e-09 5.57e-09 2461.13 942.35 135.97 -0.7 4804067 0.00e+00 9.70e-16 1.94e+01 1.15e-08 -1.73e-04 3.21e-02
0.392 0.0151 6.25e-09 5.34e-09 2420.94 927.81 134.98 -0.7 4753063 0.00e+00 6.11e-16 1.24e+01 1.00e-08 -1.50e-04 2.47e-02
0.400 0.0155 6.00e-09 5.13e-09 2381.11 913.60 134.01 -0.7 4702601 0.00e+00 4.02e-16 8.22e+00 8.96e-09 -1.34e-04 1.94e-02
0.409 0.0159 5.75e-09 4.92e-09 2341.76 899.68 133.07 -0.7 4652674 0.00e+00 2.86e-16 5.91e+00 8.33e-09 -1.25e-04 1.58e-02
0.418 0.0162 5.52e-09 4.72e-09 2302.75 886.09 132.13 -0.7 4603278 0.00e+00 2.29e-16 4.77e+00 8.21e-09 -1.23e-04 1.37e-02
0.427 0.0166 5.30e-09 4.53e-09 2263.93 872.88 131.22 -0.7 4554406 0.00e+00 2.07e-16 4.37e+00 8.62e-09 -1.29e-04 1.26e-02
0.436 0.0171 5.08e-09 4.35e-09 2225.66 859.91 130.32 -0.7 4506052 0.00e+00 2.05e-16 4.36e+00 9.44e-09 -1.42e-04 1.21e-02
0.445 0.0175 4.87e-09 4.17e-09 2187.91 847.18 129.43 -0.7 4458212 0.00e+00 2.11e-16 4.54e+00 1.05e-08 -1.58e-04 1.19e-02
0.455 0.0179 4.67e-09 4.00e-09 2150.56 834.73 128.57 -0.7 4410880 0.00e+00 2.21e-16 4.79e+00 1.19e-08 -1.78e-04 1.18e-02
0.465 0.0184 4.48e-09 3.83e-09 2113.33 822.67 127.71 -0.7 4364051 0.00e+00 2.32e-16 5.10e+00 1.34e-08 -2.01e-04 1.17e-02
0.475 0.0188 4.30e-09 3.68e-09 2076.70 810.79 126.87 -0.7 4317718 0.00e+00 2.46e-16 5.45e+00 1.51e-08 -2.27e-04 1.16e-02
0.485 0.0193 4.12e-09 3.52e-09 2040.42 799.21 126.04 -0.7 4271878 0.00e+00 2.60e-16 5.83e+00 1.71e-08 -2.57e-04 1.16e-02
0.496 0.0198 3.95e-09 3.38e-09 2004.70 787.81 125.23 -0.7 4226524 0.00e+00 2.77e-16 6.26e+00 1.94e-08 -2.91e-04 1.15e-02
0.506 0.0203 3.78e-09 3.24e-09 1969.54 776.60 124.43 -0.7 4181652 0.00e+00 2.95e-16 6.74e+00 2.20e-08 -3.30e-04 1.15e-02
0.517 0.0208 3.62e-09 3.10e-09 1934.44 765.78 123.63 -0.7 4137256 0.00e+00 3.16e-16 7.28e+00 2.50e-08 -3.75e-04 1.15e-02
0.528 0.0213 3.47e-09 2.97e-09 1899.98 755.10 122.86 -0.7 4093332 0.00e+00 3.39e-16 7.89e+00 2.84e-08 -4.26e-04 1.15e-02
0.540 0.0219 3.32e-09 2.84e-09 1865.91 744.66 122.09 -0.7 4049874 0.00e+00 3.66e-16 8.59e+00 3.23e-08 -4.85e-04 1.16e-02
0.551 0.0224 3.18e-09 2.72e-09 1832.33 734.40 121.33 -0.7 4006877 0.00e+00 3.96e-16 9.39e+00 3.68e-08 -5.53e-04 1.16e-02
0.563 0.0230 3.05e-09 2.61e-09 1799.24 724.34 120.58 -0.7 3964336 0.00e+00 4.31e-16 1.03e+01 4.21e-08 -6.31e-04 1.17e-02
0.576 0.0237 2.88e-09 2.47e-09 1752.57 720.19 119.64 -0.7 3922248 0.00e+00 4.86e-16 1.17e+01 5.05e-08 -7.57e-04 1.20e-02
0.588 0.0244 2.73e-09 2.33e-09 1706.95 716.14 118.71 -0.7 3880606 0.00e+00 5.54e-16 1.34e+01 6.08e-08 -9.12e-04 1.22e-02
0.601 0.0251 2.58e-09 2.21e-09 1662.68 712.04 117.79 -0.7 3839406 0.00e+00 6.37e-16 1.54e+01 7.34e-08 -1.10e-03 1.26e-02
0.614 0.0258 2.44e-09 2.09e-09 1619.39 708.03 116.88 -0.7 3798644 0.00e+00 7.39e-16 1.80e+01 8.88e-08 -1.33e-03 1.30e-02
0.627 0.0266 2.31e-09 1.98e-09 1577.28 704.03 115.98 -0.7 3758315 0.00e+00 8.65e-16 2.11e+01 1.08e-07 -1.62e-03 1.35e-02
