#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.052 0.0009 1.28e-07 1.09e-07 3055.50 1530.89 783.36 -42.3 13076793 0.00e+00 1.51e-10 2.18e+06 6.51e-01 -3.33e+01 4.70e+01
0.053 0.0010 1.20e-07 1.02e-07 2955.95 1528.79 769.97 -42.8 12927297 0.00e+00 1.52e-10 2.19e+06 6.61e-01 -3.27e+01 4.54e+01
0.054 0.0010 1.12e-07 9.57e-08 2859.83 1526.60 756.80 -43.2 12779510 0.00e+00 1.52e-10 2.19e+06 6.69e-01 -3.20e+01 4.40e+01
0.055 0.0010 1.05e-07 8.95e-08 2766.84 1524.40 743.86 -43.6 12633413 0.00e+00 1.52e-10 2.20e+06 6.78e-01 -3.14e+01 4.25e+01
0.057 0.0011 9.78e-08 8.37e-08 2676.88 1522.21 731.14 -44.1 12488986 0.00e+00 1.53e-10 2.21e+06 6.86e-01 -3.07e+01 4.11e+01
0.058 0.0011 9.15e-08 7.83e-08 2590.01 1519.92 718.64 -44.5 12346210 0.00e+00 1.53e-10 2.21e+06 6.94e-01 -3.01e+01 3.98e+01
0.059 0.0011 8.56e-08 7.32e-08 2505.81 1517.73 706.35 -45.0 12205067 0.00e+00 1.53e-10 2.21e+06 7.02e-01 -2.95e+01 3.85e+01
0.061 0.0012 8.00e-08 6.85e-08 2424.35 1515.53 694.27 -45.4 12065537 0.00e+00 1.53e-10 2.22e+06 7.10e-01 -2.89e+01 3.73e+01
0.062 0.0012 7.49e-08 6.41e-08 2345.69 1513.24 682.40 -45.9 11927602 0.00e+00 1.53e-10 2.22e+06 7.18e-01 -2.83e+01 3.61e+01
0.064 0.0013 7.00e-08 5.99e-08 2269.45 1511.05 670.73 -46.3 11791244 0.00e+00 1.53e-10 2.23e+06 7.26e-01 -2.77e+01 3.49e+01
0.065 0.0013 6.55e-08 5.61e-08 2195.83 1508.76 659.26 -46.8 11656444 0.00e+00 1.53e-10 2.23e+06 7.33e-01 -2.71e+01 3.38e+01
