#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.067 0.0014 6.13e-08 5.24e-08 2124.47 1506.57 647.99 -47.3 11523186 0.00e+00 1.54e-10 2.23e+06 7.42e-01 -2.65e+01 3.27e+01
0.068 0.0014 5.73e-08 4.91e-08 2055.56 1504.28 636.91 -47.7 11391452 0.00e+00 1.53e-10 2.24e+06 7.49e-01 -2.60e+01 3.16e+01
0.070 0.0014 5.36e-08 4.59e-08 1988.89 1501.99 626.02 -48.2 11261223 0.00e+00 1.53e-10 2.24e+06 7.55e-01 -2.54e+01 3.06e+01
0.071 0.0015 5.02e-08 4.29e-08 1924.39 1499.70 615.32 -48.7 11132483 0.00e+00 1.53e-10 2.24e+06 7.62e-01 -2.48e+01 2.96e+01
0.073 0.0015 4.69e-08 4.02e-08 1861.86 1497.51 604.80 -49.2 11005215 0.00e+00 1.53e-10 2.24e+06 7.70e-01 -2.43e+01 2.86e+01
0.075 0.0016 4.39e-08 3.76e-08 1801.49 1495.22 594.45 -49.7 10879402 0.00e+00 1.53e-10 2.24e+06 7.76e-01 -2.38e+01 2.77e+01
0.077 0.0017 4.11e-08 3.51e-08 1742.96 1493.03 584.29 -50.2 10755027 0.00e+00 1.53e-10 2.25e+06 7.83e-01 -2.33e+01 2.68e+01
0.078 0.0017 3.84e-08 3.29e-08 1686.45 1490.74 574.30 -50.7 10632074 0.00e+00 1.53e-10 2.25e+06 7.89e-01 -2.27e+01 2.59e+01
0.080 0.0018 3.59e-08 3.07e-08 1631.67 1488.54 564.48 -51.2 10510526 0.00e+00 1.53e-10 2.25e+06 7.96e-01 -2.22e+01 2.51e+01
0.082 0.0018 3.36e-08 2.88e-08 1578.78 1486.26 554.83 -51.7 10390369 0.00e+00 1.53e-10 2.25e+06 8.02e-01 -2.17e+01 2.43e+01
0.084 0.0019 3.14e-08 2.69e-08 1527.60 1483.97 545.34 -52.2 10271584 0.00e+00 1.53e-10 2.25e+06 8.07e-01 -2.13e+01 2.35e+01
0.086 0.0020 2.94e-08 2.52e-08 1477.99 1481.77 536.02 -52.8 10154158 0.00e+00 1.53e-10 2.25e+06 8.13e-01 -2.08e+01 2.27e+01
0.088 0.0020 2.75e-08 2.35e-08 1429.99 1479.58 526.85 -53.3 10038074 0.00e+00 1.53e-10 2.25e+06 8.19e-01 -2.03e+01 2.20e+01
0.090 0.0021 2.57e-08 2.20e-08 1383.65 1477.29 517.84 -53.8 9923318 0.00e+00 1.53e-10 2.25e+06 8.23e-01 -1.99e+01 2.13e+01
0.092 0.0022 2.41e-08 2.06e-08 1338.72 1475.10 508.99 -54.4 9809873 0.00e+00 1.53e-10 2.25e+06 8.28e-01 -1.94e+01 2.06e+01
0.094 0.0022 2.25e-08 1.93e-08 1295.34 1472.81 500.28 -54.9 9697725 0.00e+00 1.52e-10 2.25e+06 8.32e-01 -1.90e+01 1.99e+01
0.096 0.0023 2.11e-08 1.80e-08 1253.29 1470.62 491.73 -55.5 9586859 0.00e+00 1.52e-10 2.25e+06 8.36e-01 -1.85e+01 1.93e+01
0.099 0.0024 1.97e-08 1.69e-08 1212.60 1468.42 483.32 -56.0 9477261 0.00e+00 1.52e-10 2.25e+06 8.40e-01 -1.81e+01 1.86e+01
0.101 0.0025 1.84e-08 1.58e-08 1173.24 1466.23 475.06 -56.6 9368916 0.00e+00 1.52e-10 2.25e+06 8.44e-01 -1.77e+01 1.80e+01
0.103 0.0026 1.72e-08 1.48e-08 1135.16 1464.03 466.93 -57.1 9261809 0.00e+00 1.52e-10 2.26e+06 8.46e-01 -1.73e+01 1.74e+01
0.106 0.0027 1.61e-08 1.38e-08 1098.32 1461.84 458.95 -57.7 9155926 0.00e+00 1.52e-10 2.26e+06 8.49e-01 -1.69e+01 1.69e+01
0.108 0.0027 1.51e-08 1.29e-08 1062.67 1459.65 451.10 -58.3 9051255 0.00e+00 1.52e-10 2.26e+06 8.51e-01 -1.65e+01 1.63e+01
0.111 0.0028 1.41e-08 1.21e-08 1028.19 1457.45 443.39 -58.9 8947779 0.00e+00 1.52e-10 2.26e+06 8.52e-01 -1.61e+01 1.58e+01
0.113 0.0029 1.32e-08 1.13e-08 994.82 1455.26 435.81 -59.5 8845487 0.00e+00 1.51e-10 2.26e+06 8.52e-01 -1.57e+01 1.53e+01
0.116 0.0030 1.24e-08 1.06e-08 964.89 1449.54 428.36 -59.9 8744364 0.00e+00 1.43e-10 2.13e+06 8.06e-01 -1.52e+01 1.48e+01
0.118 0.0031 1.17e-08 1.00e-08 940.71 1436.38 421.03 -60.1 8644397 0.00e+00 1.19e-10 1.79e+06 6.77e-01 -1.43e+01 1.45e+01
0.121 0.0032 1.11e-08 9.51e-09 917.90 1422.17 413.83 -60.2 8545573 0.00e+00 9.68e-11 1.47e+06 5.57e-01 -1.35e+01 1.41e+01
0.124 0.0033 1.05e-08 8.99e-09 894.27 1410.25 406.76 -60.3 8447879 0.00e+00 8.17e-11 1.24e+06 4.73e-01 -1.27e+01 1.37e+01
0.127 0.0034 9.91e-09 8.48e-09 870.19 1400.14 399.80 -60.6 8351302 0.00e+00 7.09e-11 1.08e+06 4.13e-01 -1.21e+01 1.34e+01
0.130 0.0035 9.37e-09 8.02e-09 847.79 1388.41 392.97 -60.8 8255829 0.00e+00 5.97e-11 9.18e+05 3.50e-01 -1.15e+01 1.30e+01
0.133 0.0036 8.84e-09 7.57e-09 825.16 1378.11 386.25 -61.0 8161447 0.00e+00 5.13e-11 7.94e+05 3.02e-01 -1.09e+01 1.27e+01
0.136 0.0038 8.33e-09 7.12e-09 801.79 1370.19 379.64 -61.4 8068144 0.00e+00 4.60e-11 7.14e+05 2.72e-01 -1.04e+01 1.23e+01
0.139 0.0039 7.82e-09 6.69e-09 778.18 1363.90 373.15 -61.8 7975908 0.00e+00 4.24e-11 6.61e+05 2.51e-01 -1.00e+01 1.20e+01
0.142 0.0040 7.34e-09 6.28e-09 754.48 1359.04 366.77 -62.3 7884726 0.00e+00 4.01e-11 6.26e+05 2.37e-01 -9.70e+00 1.16e+01
0.146 0.0041 6.88e-09 5.89e-09 730.85 1355.41 360.50 -62.9 7794587 0.00e+00 3.88e-11 6.07e+05 2.29e-01 -9.41e+00 1.12e+01
0.149 0.0043 6.45e-09 5.52e-09 708.06 1351.60 354.33 -63.4 7705478 0.00e+00 3.74e-11 5.86e+05 2.20e-01 -9.12e+00 1.09e+01
0.153 0.0044 6.06e-09 5.19e-09 687.55 1344.73 348.28 -63.8 7617388 0.00e+00 3.40e-11 5.35e+05 2.00e-01 -8.74e+00 1.06e+01
0.156 0.0046 5.74e-09 4.91e-09 670.37 1332.43 342.32 -64.0 7530305 0.00e+00 2.78e-11 4.40e+05 1.65e-01 -8.20e+00 1.03e+01
0.160 0.0047 5.43e-09 4.64e-09 653.20 1321.08 336.47 -64.2 7444217 0.00e+00 2.31e-11 3.68e+05 1.37e-01 -7.70e+00 1.00e+01
0.163 0.0048 5.12e-09 4.38e-09 636.06 1310.68 330.71 -64.4 7359114 0.00e+00 1.95e-11 3.11e+05 1.16e-01 -7.23e+00 9.78e+00
0.167 0.0050 4.83e-09 4.14e-09 618.82 1301.53 325.06 -64.7 7274983 0.00e+00 1.68e-11 2.70e+05 1.00e-01 -6.81e+00 9.51e+00
0.171 0.0051 4.55e-09 3.90e-09 601.63 1293.33 319.50 -65.0 7191815 0.00e+00 1.47e-11 2.37e+05 8.76e-02 -6.42e+00 9.25e+00
0.175 0.0053 4.29e-09 3.67e-09 584.50 1286.08 314.04 -65.4 7109597 0.00e+00 1.31e-11 2.12e+05 7.80e-02 -6.07e+00 8.99e+00
0.179 0.0055 4.03e-09 3.45e-09 567.68 1279.31 308.67 -65.8 7028319 0.00e+00 1.18e-11 1.92e+05 7.00e-02 -5.74e+00 8.73e+00
0.183 0.0057 3.79e-09 3.24e-09 550.97 1273.40 303.39 -66.3 6947970 0.00e+00 1.08e-11 1.76e+05 6.38e-02 -5.45e+00 8.47e+00
0.188 0.0059 3.56e-09 3.05e-09 534.54 1268.06 298.20 -66.7 6868540 0.00e+00 9.96e-12 1.63e+05 5.87e-02 -5.19e+00 8.22e+00
0.192 0.0060 3.34e-09 2.86e-09 518.32 1263.38 293.11 -67.3 6790018 0.00e+00 9.33e-12 1.53e+05 5.46e-02 -4.96e+00 7.97e+00
0.197 0.0062 3.13e-09 2.68e-09 502.42 1259.19 288.09 -67.8 6712393 0.00e+00 8.82e-12 1.45e+05 5.12e-02 -4.75e+00 7.72e+00
0.201 0.0064 2.97e-09 2.54e-09 490.25 1246.69 283.17 -67.9 6635656 0.00e+00 6.96e-12 1.15e+05 4.07e-02 -4.22e+00 7.54e+00
0.206 0.0066 2.81e-09 2.41e-09 478.45 1234.10 278.33 -68.0 6559797 0.00e+00 5.45e-12 9.08e+04 3.21e-02 -3.68e+00 7.35e+00
0.211 0.0068 2.66e-09 2.28e-09 466.67 1222.37 273.57 -68.1 6484804 0.00e+00 4.33e-12 7.26e+04 2.45e-02 -3.03e+00 6.38e+00
0.215 0.0070 2.52e-09 2.16e-09 454.93 1211.41 268.89 -68.3 6410669 0.00e+00 3.48e-12 5.87e+04 1.86e-02 -2.45e+00 5.48e+00
0.220 0.0072 2.38e-09 2.04e-09 443.24 1201.20 264.29 -68.5 6337381 0.00e+00 2.84e-12 4.81e+04 1.43e-02 -1.97e+00 4.74e+00
0.226 0.0075 2.25e-09 1.93e-09 431.67 1191.57 259.77 -68.8 6264931 0.00e+00 2.33e-12 3.98e+04 1.11e-02 -1.58e+00 4.12e+00
0.231 0.0077 2.12e-09 1.82e-09 420.26 1182.42 255.33 -69.0 6193310 0.00e+00 1.94e-12 3.32e+04 8.64e-03 -1.25e+00 3.59e+00
0.236 0.0079 2.01e-09 1.72e-09 409.85 1171.35 250.97 -69.2 6122507 0.00e+00 1.53e-12 2.64e+04 6.26e-03 -9.26e-01 3.06e+00
0.242 0.0081 1.95e-09 1.66e-09 405.56 1143.60 246.68 -68.3 6052514 0.00e+00 7.82e-13 1.37e+04 2.48e-03 -3.73e-01 2.13e+00
0.247 0.0083 1.88e-09 1.61e-09 401.14 1116.99 242.46 -67.5 5983320 0.00e+00 4.00e-13 7.13e+03 9.46e-04 -1.43e-01 1.48e+00
0.253 0.0085 1.82e-09 1.56e-09 396.89 1090.67 238.31 -66.7 5914918 0.00e+00 1.99e-13 3.61e+03 3.46e-04 -5.21e-02 1.02e+00
0.259 0.0087 1.77e-09 1.51e-09 393.84 1061.87 234.24 -65.6 5847298 0.00e+00 8.96e-14 1.65e+03 1.10e-04 -1.66e-02 6.64e-01
0.265 0.0089 1.72e-09 1.47e-09 390.80 1033.83 230.23 -64.7 5780451 0.00e+00 3.98e-14 7.48e+02 3.63e-05 -5.45e-03 4.31e-01
0.271 0.0091 1.67e-09 1.43e-09 387.74 1006.65 226.30 -63.7 5714368 0.00e+00 1.79e-14 3.42e+02 1.36e-05 -2.04e-03 2.82e-01
0.277 0.0092 1.62e-09 1.39e-09 384.66 980.33 222.43 -62.7 5649041 0.00e+00 8.43e-15 1.64e+02 6.60e-06 -9.90e-04 1.89e-01
0.284 0.0094 1.57e-09 1.35e-09 381.60 954.68 218.63 -61.8 5584460 0.00e+00 4.60e-15 9.14e+01 4.27e-06 -6.41e-04 1.36e-01
0.291 0.0096 1.53e-09 1.31e-09 378.48 929.91 214.89 -60.9 5520618 0.00e+00 3.36e-15 6.78e+01 3.51e-06 -5.27e-04 1.13e-01
0.297 0.0099 1.48e-09 1.27e-09 375.39 905.78 211.21 -60.0 5457505 0.00e+00 3.15e-15 6.48e+01 3.36e-06 -5.04e-04 1.07e-01
0.304 0.0101 1.44e-09 1.23e-09 372.26 882.41 207.60 -59.1 5395114 0.00e+00 3.22e-15 6.75e+01 3.38e-06 -5.08e-04 1.05e-01
0.311 0.0103 1.40e-09 1.20e-09 369.12 859.76 204.05 -58.3 5333436 0.00e+00 3.35e-15 7.14e+01 3.45e-06 -5.18e-04 1.05e-01
0.319 0.0105 1.36e-09 1.16e-09 365.98 837.73 200.57 -57.4 5272464 0.00e+00 3.49e-15 7.58e+01 3.53e-06 -5.30e-04 1.04e-01
0.326 0.0107 1.32e-09 1.13e-09 362.78 816.47 197.14 -56.6 5212188 0.00e+00 3.65e-15 8.05e+01 3.64e-06 -5.46e-04 1.04e-01
0.333 0.0110 1.28e-09 1.09e-09 359.57 795.82 193.77 -55.8 5152602 0.00e+00 3.81e-15 8.54e+01 3.76e-06 -5.64e-04 1.03e-01
0.341 0.0112 1.24e-09 1.06e-09 356.39 775.70 190.45 -55.1 5093696 0.00e+00 3.97e-15 9.07e+01 3.89e-06 -5.83e-04 1.03e-01
0.349 0.0115 1.20e-09 1.03e-09 353.10 756.39 187.20 -54.3 5035465 0.00e+00 4.15e-15 9.64e+01 4.04e-06 -6.06e-04 1.02e-01
0.357 0.0117 1.16e-09 9.95e-10 349.86 737.50 184.00 -53.6 4977898 0.00e+00 4.33e-15 1.02e+02 4.20e-06 -6.31e-04 1.02e-01
0.366 0.0120 1.12e-09 9.58e-10 345.05 722.44 180.85 -53.1 4920990 0.00e+00 4.59e-15 1.10e+02 4.46e-06 -6.69e-04 1.02e-01
0.374 0.0124 1.06e-09 9.07e-10 336.48 715.71 177.76 -53.2 4864733 0.00e+00 5.01e-15 1.21e+02 4.93e-06 -7.40e-04 1.02e-01
0.383 0.0127 1.00e-09 8.58e-10 328.11 709.08 174.72 -53.3 4809119 0.00e+00 5.47e-15 1.33e+02 5.45e-06 -8.18e-04 1.02e-01
0.392 0.0131 9.49e-10 8.12e-10 319.95 702.50 171.74 -53.4 4754140 0.00e+00 5.97e-15 1.46e+02 6.03e-06 -9.05e-04 1.02e-01
0.401 0.0135 8.98e-10 7.69e-10 312.01 695.97 168.80 -53.5 4699790 0.00e+00 6.51e-15 1.60e+02 6.66e-06 -1.00e-03 1.02e-01
0.410 0.0139 8.50e-10 7.28e-10 304.26 689.49 165.91 -53.6 4646061 0.00e+00 7.10e-15 1.76e+02 7.36e-06 -1.11e-03 1.02e-01
0.420 0.0144 8.05e-10 6.89e-10 296.70 683.10 163.08 -53.8 4592947 0.00e+00 7.74e-15 1.93e+02 8.13e-06 -1.22e-03 1.02e-01
0.429 0.0148 7.62e-10 6.52e-10 289.32 676.75 160.29 -53.9 4540440 0.00e+00 8.42e-15 2.11e+02 8.98e-06 -1.35e-03 1.02e-01
0.439 0.0152 7.34e-10 6.28e-10 285.61 662.31 157.55 -53.3 4488533 0.00e+00 8.87e-15 2.25e+02 9.52e-06 -1.43e-03 1.02e-01
0.450 0.0155 7.10e-10 6.07e-10 282.41 647.10 154.86 -52.7 4437219 0.00e+00 9.30e-15 2.40e+02 1.01e-05 -1.51e-03 1.01e-01
0.460 0.0159 6.86e-10 5.87e-10 279.24 632.27 152.21 -52.1 4386492 0.00e+00 9.75e-15 2.56e+02 1.06e-05 -1.59e-03 1.01e-01
0.471 0.0162 6.63e-10 5.68e-10 276.23 617.48 149.61 -51.5 4336345 0.00e+00 1.02e-14 2.72e+02 1.12e-05 -1.68e-03 1.00e-01
0.482 0.0166 6.42e-10 5.49e-10 273.28 602.99 147.05 -50.8 4286772 0.00e+00 1.07e-14 2.89e+02 1.18e-05 -1.77e-03 9.98e-02
0.493 0.0170 6.21e-10 5.31e-10 270.36 588.83 144.54 -50.2 4237765 0.00e+00 1.12e-14 3.08e+02 1.25e-05 -1.87e-03 9.93e-02
0.505 0.0174 6.00e-10 5.13e-10 267.39 575.19 142.07 -49.6 4189318 0.00e+00 1.17e-14 3.27e+02 1.32e-05 -1.98e-03 9.88e-02
0.516 0.0178 5.80e-10 4.96e-10 264.44 561.88 139.64 -49.0 4141425 0.00e+00 1.23e-14 3.48e+02 1.40e-05 -2.10e-03 9.82e-02
0.528 0.0182 5.61e-10 4.80e-10 261.53 548.87 137.25 -48.5 4094080 0.00e+00 1.28e-14 3.70e+02 1.48e-05 -2.22e-03 9.77e-02
0.541 0.0186 5.42e-10 4.63e-10 258.57 536.33 134.91 -47.9 4047276 0.00e+00 1.34e-14 3.94e+02 1.56e-05 -2.35e-03 9.72e-02
0.553 0.0190 5.23e-10 4.48e-10 255.65 524.07 132.60 -47.4 4001007 0.00e+00 1.41e-14 4.19e+02 1.66e-05 -2.49e-03 9.67e-02
0.566 0.0195 5.06e-10 4.33e-10 252.75 512.10 130.34 -46.8 3955266 0.00e+00 1.48e-14 4.46e+02 1.75e-05 -2.64e-03 9.61e-02
0.579 0.0199 4.88e-10 4.18e-10 249.81 500.56 128.11 -46.3 3910049 0.00e+00 1.55e-14 4.75e+02 1.86e-05 -2.80e-03 9.56e-02
0.593 0.0204 4.72e-10 4.04e-10 246.91 489.26 125.92 -45.8 3865349 0.00e+00 1.62e-14 5.05e+02 1.97e-05 -2.97e-03 9.51e-02
0.606 0.0209 4.56e-10 3.90e-10 244.04 478.25 123.77 -45.2 3821160 0.00e+00 1.70e-14 5.37e+02 2.09e-05 -3.15e-03 9.46e-02
0.621 0.0214 4.40e-10 3.76e-10 241.14 467.58 121.66 -44.7 3777476 0.00e+00 1.78e-14 5.72e+02 2.22e-05 -3.34e-03 9.41e-02
0.635 0.0219 4.25e-10 3.63e-10 238.27 457.16 119.58 -44.3 3734291 0.00e+00 1.87e-14 6.09e+02 2.36e-05 -3.54e-03 9.35e-02
0.650 0.0224 4.10e-10 3.51e-10 235.44 446.98 117.54 -43.8 3691600 0.00e+00 1.96e-14 6.48e+02 2.50e-05 -3.76e-03 9.30e-02
0.665 0.0231 3.86e-10 3.30e-10 228.87 444.21 115.53 -44.0 3649397 0.00e+00 2.14e-14 7.10e+02 2.78e-05 -4.19e-03 9.28e-02
0.680 0.0238 3.64e-10 3.11e-10 222.37 441.71 113.55 -44.3 3607677 0.00e+00 2.33e-14 7.79e+02 3.10e-05 -4.67e-03 9.27e-02
0.696 0.0246 3.42e-10 2.93e-10 216.05 439.21 111.61 -44.5 3566433 0.00e+00 2.55e-14 8.53e+02 3.45e-05 -5.20e-03 9.24e-02
0.712 0.0254 3.22e-10 2.76e-10 209.91 436.73 109.71 -44.8 3525661 0.00e+00 2.78e-14 9.34e+02 3.84e-05 -5.78e-03 9.22e-02
0.729 0.0262 3.03e-10 2.59e-10 203.95 434.25 107.83 -45.0 3485356 0.00e+00 3.02e-14 1.02e+03 4.27e-05 -6.43e-03 9.19e-02
0.746 0.0270 2.85e-10 2.44e-10 198.16 431.79 105.99 -45.3 3445510 0.00e+00 3.29e-14 1.12e+03 4.74e-05 -7.14e-03 9.16e-02
0.763 0.0279 2.69e-10 2.30e-10 192.52 429.36 104.18 -45.6 3406121 0.00e+00 3.59e-14 1.22e+03 5.26e-05 -7.93e-03 9.12e-02
0.781 0.0288 2.53e-10 2.16e-10 187.05 426.93 102.40 -45.8 3367182 0.00e+00 3.90e-14 1.33e+03 5.83e-05 -8.80e-03 9.09e-02
0.799 0.0297 2.38e-10 2.04e-10 181.74 424.52 100.65 -46.1 3328688 0.00e+00 4.24e-14 1.45e+03 6.46e-05 -9.76e-03 9.05e-02
0.818 0.0307 2.24e-10 1.92e-10 176.57 422.14 98.93 -46.4 3290634 0.00e+00 4.61e-14 1.59e+03 7.16e-05 -1.08e-02 9.01e-02
0.837 0.0317 2.11e-10 1.80e-10 171.55 419.75 97.24 -46.6 3253015 0.00e+00 5.00e-14 1.73e+03 7.92e-05 -1.20e-02 8.96e-02
0.856 0.0327 1.99e-10 1.70e-10 166.68 417.37 95.58 -46.9 3215826 0.00e+00 5.43e-14 1.88e+03 8.76e-05 -1.32e-02 8.92e-02
0.876 0.0336 1.90e-10 1.62e-10 163.48 411.10 93.95 -46.7 3179062 0.00e+00 5.76e-14 2.02e+03 9.44e-05 -1.43e-02 8.86e-02
0.896 0.0345 1.82e-10 1.55e-10 160.77 403.85 92.35 -46.5 3142718 0.00e+00 6.08e-14 2.16e+03 1.01e-04 -1.53e-02 8.80e-02
0.917 0.0354 1.74e-10 1.49e-10 158.11 396.72 90.77 -46.2 3106790 0.00e+00 5.43e-14 1.95e+03 8.43e-05 -1.28e-02 8.03e-02
0.939 0.0363 1.67e-10 1.43e-10 155.49 389.73 89.22 -45.9 3071273 0.00e+00 4.30e-14 1.56e+03 5.93e-05 -8.95e-03 6.91e-02
0.961 0.0371 1.61e-10 1.38e-10 153.63 381.08 87.70 -45.4 3036162 0.00e+00 3.44e-14 1.27e+03 4.21e-05 -6.36e-03 6.00e-02
0.983 0.0380 1.56e-10 1.33e-10 151.86 372.45 86.20 -44.9 3001452 0.00e+00 2.90e-14 1.09e+03 3.26e-05 -4.91e-03 5.36e-02
1.006 0.0389 1.50e-10 1.29e-10 150.11 364.01 84.73 -44.3 2967139 0.00e+00 2.55e-14 9.70e+02 2.67e-05 -4.03e-03 4.88e-02
1.029 0.0398 1.45e-10 1.24e-10 148.42 355.69 83.29 -43.8 2933218 0.00e+00 2.31e-14 8.90e+02 2.28e-05 -3.43e-03 4.51e-02
1.053 0.0407 1.40e-10 1.20e-10 146.73 347.58 81.87 -43.3 2899685 0.00e+00 2.13e-14 8.34e+02 2.01e-05 -3.02e-03 4.21e-02
1.078 0.0417 1.36e-10 1.16e-10 145.07 339.64 80.47 -42.8 2866536 0.00e+00 1.99e-14 7.93e+02 1.81e-05 -2.72e-03 3.96e-02
1.103 0.0426 1.31e-10 1.12e-10 143.46 331.80 79.10 -42.3 2833765 0.00e+00 1.89e-14 7.63e+02 1.65e-05 -2.49e-03 3.74e-02
1.128 0.0436 1.27e-10 1.08e-10 141.87 324.15 77.75 -41.8 2801369 0.00e+00 1.81e-14 7.41e+02 1.54e-05 -2.32e-03 3.56e-02
1.155 0.0446 1.23e-10 1.05e-10 140.30 316.66 76.43 -41.3 2769343 0.00e+00 1.74e-14 7.26e+02 1.45e-05 -2.18e-03 3.40e-02
1.181 0.0456 1.19e-10 1.01e-10 138.80 309.22 75.12 -40.8 2737684 0.00e+00 1.69e-14 7.15e+02 1.37e-05 -2.07e-03 3.25e-02
1.209 0.0467 1.15e-10 9.81e-11 137.32 301.97 73.85 -40.3 2706386 0.00e+00 1.65e-14 7.09e+02 1.32e-05 -1.98e-03 3.12e-02
1.237 0.0477 1.11e-10 9.48e-11 135.84 294.92 72.59 -39.8 2675446 0.00e+00 1.62e-14 7.06e+02 1.27e-05 -1.91e-03 3.01e-02
1.266 0.0489 1.07e-10 9.12e-11 133.89 289.05 71.35 -39.5 2644860 0.00e+00 1.62e-14 7.16e+02 1.26e-05 -1.90e-03 2.92e-02
1.295 0.0501 1.03e-10 8.78e-11 131.98 283.30 70.14 -39.2 2614624 0.00e+00 1.62e-14 7.28e+02 1.26e-05 -1.89e-03 2.83e-02
1.325 0.0514 9.87e-11 8.44e-11 130.10 277.65 68.94 -38.8 2584733 0.00e+00 1.63e-14 7.43e+02 1.26e-05 -1.89e-03 2.75e-02
1.356 0.0526 9.49e-11 8.12e-11 128.21 272.19 67.77 -38.5 2555184 0.00e+00 1.65e-14 7.59e+02 1.26e-05 -1.90e-03 2.68e-02
1.388 0.0540 9.12e-11 7.80e-11 126.34 266.85 66.62 -38.2 2525973 0.00e+00 1.67e-14 7.78e+02 1.27e-05 -1.92e-03 2.61e-02
1.420 0.0553 8.77e-11 7.50e-11 124.49 261.63 65.48 -37.9 2497096 0.00e+00 1.69e-14 7.99e+02 1.29e-05 -1.94e-03 2.54e-02
1.453 0.0567 8.44e-11 7.22e-11 122.73 256.39 64.37 -37.5 2468548 0.00e+00 1.71e-14 8.21e+02 1.30e-05 -1.96e-03 2.48e-02
1.487 0.0579 8.18e-11 7.00e-11 121.66 249.88 63.28 -37.0 2440328 0.00e+00 1.71e-14 8.31e+02 1.29e-05 -1.94e-03 2.41e-02
1.521 0.0592 7.94e-11 6.79e-11 120.59 243.54 62.20 -36.5 2412429 0.00e+00 1.70e-14 8.44e+02 1.28e-05 -1.93e-03 2.35e-02
1.557 0.0605 7.70e-11 6.59e-11 119.57 237.30 61.15 -36.0 2384850 0.00e+00 1.70e-14 8.58e+02 1.27e-05 -1.91e-03 2.29e-02
1.593 0.0618 7.48e-11 6.40e-11 118.61 231.10 60.11 -35.4 2357586 0.00e+00 1.70e-14 8.73e+02 1.26e-05 -1.90e-03 2.23e-02
1.630 0.0631 7.27e-11 6.22e-11 117.66 225.07 59.09 -34.9 2330634 0.00e+00 1.70e-14 8.89e+02 1.26e-05 -1.90e-03 2.18e-02
1.668 0.0644 7.06e-11 6.04e-11 116.80 219.03 58.09 -34.4 2303990 0.00e+00 1.71e-14 9.07e+02 1.26e-05 -1.90e-03 2.12e-02
1.707 0.0658 6.87e-11 5.88e-11 115.96 213.14 57.11 -33.8 2277650 0.00e+00 1.71e-14 9.25e+02 1.26e-05 -1.89e-03 2.08e-02
1.746 0.0672 6.68e-11 5.72e-11 115.15 207.36 56.14 -33.3 2251612 0.00e+00 1.72e-14 9.45e+02 1.26e-05 -1.90e-03 2.03e-02
1.787 0.0685 6.50e-11 5.56e-11 114.42 201.61 55.19 -32.7 2225871 0.00e+00 1.72e-14 9.66e+02 1.26e-05 -1.90e-03 1.99e-02
1.829 0.0700 6.33e-11 5.42e-11 113.70 196.01 54.26 -32.2 2200425 0.00e+00 1.73e-14 9.88e+02 1.26e-05 -1.90e-03 1.94e-02
1.871 0.0714 6.17e-11 5.28e-11 113.06 190.44 53.34 -31.6 2175269 0.00e+00 1.74e-14 1.01e+03 1.26e-05 -1.91e-03 1.90e-02
